ID_Barra,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu,P_Carga_pu,Q_Carga_pu,Desvio_Tensao_QLIM_pu,Corte_Reativo_VLIM_pu,Falta_Ativa_PLIM_pu
44821,0.6193185105361793,-33.06204496115119,0.0,0.0,0.0,0.0,0.0,0.0010419645450576455,-0.006980831391342007
44691,0.6003332117932197,-44.153437643292435,0.0,0.0,0.0,0.0,0.0,0.0098710370494668,0.002005758146279744
7377,0.6134211678791128,-50.2710373262431,0.0,0.0,0.039,0.015,0.0,-0.004710084747252207,0.015050271731787109
1734,0.5490856627006291,-84.36916509958608,0.0,0.0,0.536,0.218,0.0,-0.14584391395113178,0.16247365279943815
3812,0.5897422704410925,-57.29446060742357,0.0,0.0,0.491,0.066,0.0,-0.028773094126370354,0.1656306773499476
44742,0.6477274108382179,-20.150988852764694,0.0,0.0,0.0,0.0,0.0,-0.08236900355564095,-0.031770353845479306
44880,0.5957923100338173,-59.73250283475003,0.0,0.0,0.0,0.0,0.0,0.0005899679138522088,0.01230583522435082
45066,0.6230223869343616,-55.62127534445687,0.2,0.0383260614340326,0.0,0.0,-0.37898102882964985,0.0,-0.059589457996220285
9952,0.6822971347610561,-36.15263032902944,0.0,0.0,0.0,0.0,0.0,-0.05693346358166444,0.006852466296283142
5788,0.6277343376201925,-64.81386850013202,0.0,0.0,0.0,0.0,0.0,-0.041787699544998766,0.0695929576463644
23944,0.5561147570665509,-63.610048233112174,0.0,0.0,0.0,0.0,0.0,0.016380806919412898,0.01084736357389972
46933,0.6019872446940961,-52.75176973245658,0.0,0.0,-0.069,0.0,0.0,-0.0018394277448274415,-0.01503977133417811
43987,0.6453700721507177,-55.18764863031042,0.0,0.0,0.0,0.0,0.0,-0.008649851597138783,0.01601966049013368
44629,0.6258764786336118,-53.53403547542089,0.0,0.0,0.0,0.0,0.0,-0.05260098051257413,0.07075381754093793
6749,0.6531861345098796,-30.086405202976774,0.0,0.0,0.0,0.0,0.0,0.014035013687878795,-0.0036252036280998217
47715,0.7727508125252817,-27.308610221264935,0.0,0.0,0.0,0.0,0.0,-0.008288419813153387,-0.005738414664122299
46416,0.6177347098124613,-35.99875725761564,0.0,0.0,0.0,0.0,0.0,0.003969917059310107,-0.0058340431340274754
6549,0.7360817935155135,-23.52864189699834,0.0,0.0,0.0,0.0,0.0,0.016950381876408564,0.025073913312933974
290,0.6196403177356401,-68.7735265288224,0.0,0.0,0.28800000000000003,0.095,0.0,-0.10603787375118637,0.14496309468912053
8958,0.6178435396335699,-26.15390215768072,0.0,0.0,0.0,0.0,0.0,0.025539937436358486,-0.01591008220070799
40052,0.61404704895436,-59.83098695182638,0.0,0.0,0.0,0.0,0.0,0.025342636835024048,0.015126705659408896
43983,0.6538763278034537,-52.78630747091631,0.0,0.0,0.0,0.0,0.0,-0.032120300492994004,0.018332859873021114
43352,0.69893128029119,-28.951747162407624,0.0,0.0,0.0,0.0,0.0,-0.012661577517196754,-0.006035912449341022
7224,0.6726642314638018,-23.661504105658477,0.0,0.0,0.0,0.0,0.0,-0.008099831259951111,-0.00837940193267541
5915,0.6441562956305737,-65.221711491362,0.0,0.0,0.0,0.0,0.0,-0.0392735612997856,-0.0023491298444886827
43366,0.649146959865133,-58.46069849635399,0.0,0.0,0.0,0.0,0.0,-0.01112777695755245,0.024886555786826386
10585,0.5838182126014736,-48.82242042366541,0.0,0.0,0.0,0.0,0.0,0.06758490004816056,-0.00022724112027740868
1298,0.6478151296786946,-45.96013986748174,0.0,0.0,0.32299999999999995,-0.016,0.0,0.0021286167414778035,0.04087556830402776
2116,0.5942420540642513,-46.17049572438783,0.0,0.0,0.081,0.024,0.0,0.007838178676769381,0.02086709764232375
7665,0.6247476684798596,-37.519162775964084,0.0,0.0,0.0,0.0,0.0,0.029023528001369373,-0.006929816293949826
41014,0.6713487881629595,-40.03700549081523,0.0,0.0,0.0,0.0,0.0,-0.008577430283242368,0.0022872763309808716
260,0.6095876898722142,-61.083449782825426,0.0,0.0,0.47100000000000003,-0.027000000000000003,0.0,-0.007047661561841324,0.10167945225057162
984,0.5934646619183642,-28.024313251394815,0.11,-0.007827277405559977,0.013000000000000001,0.0,-0.4038256290831742,-0.023258723889011082,-0.05005420216090708
5782,0.611792190519931,-60.00695330484895,0.0,0.0,0.0,0.0,0.0,-0.12723607381687205,0.2278390749497669
8768,0.6519264019362908,-20.969946992955972,0.0,0.0,0.0,0.0,0.0,0.00047988347006879635,-0.0014206850861635068
42428,0.6677682580370875,-57.653896708680186,0.0,0.0,0.0,0.0,0.0,-0.05048687224818343,0.03174834324097224
6013,0.6264680061396601,-36.58501425894985,0.0,0.0,0.603,0.145,0.0,-0.03532923265465391,0.14515443588639118
2706,0.6487629342686867,-56.48988414849842,0.0,0.0,0.0,0.0,0.0,-0.04794740166156417,0.04141321594782307
934,0.6871412402663083,-28.803548924652738,0.0,0.0,0.0,0.0,0.0,-0.10987489881590187,0.037263783655686396
42164,0.5814787162426611,-63.92259033708748,0.0,0.0,0.0,0.0,0.0,-0.005606607341830178,0.012351660903038469
8808,0.4922528108096833,-34.320381907117486,0.0,0.0,0.0,0.0,0.0,0.016744261299034325,-0.0030472464932161493
8511,0.6677698401790915,-23.028168285443957,0.0,0.0,0.0,0.0,0.0,-0.03783692629006367,0.056438876333509316
45163,0.6814717644036888,-23.275188542563864,0.0,0.0,0.01,0.004,0.0,0.07253388452316215,-0.025248113961816147
6489,0.7730331846398313,-27.54751095457541,0.0,0.0,0.0,0.0,0.0,-0.12268024610446647,-0.05695849164505923
7070,0.6299030175960393,-43.195755236817924,0.0,0.0,0.0,0.0,0.0,-0.025160717077923805,0.014216539510350143
8309,0.6060533262825856,-25.419399359528338,0.0,0.0,-0.19920000000000002,0.0315,0.0,-0.004785032021906885,-0.07561587621781236
46360,0.6135858337690734,-69.65169301416674,0.0,0.0,0.0,0.0,0.0,-2.4797776510048336e-5,0.0002487945887139869
2342,0.6316315209407267,-22.618778026648442,0.0,0.0,0.34700000000000003,0.099,0.0,-0.07079574509179345,0.10519559985434648
47017,0.5918374624092176,-42.13411722972744,0.0,0.0,0.0,0.0,0.0,-0.0014395340046308332,0.012725010154098949
22042,0.5838996949881775,-61.1037131539828,0.0,0.0,0.0,0.0,0.0,-0.004566201867467592,0.02169104974507979
8038,0.6616264661990061,-33.55655538548813,0.0,0.0,0.8,0.29,0.0,-0.08955680628531719,0.2350088376866408
980,0.6739587571400094,-41.32990280200447,0.0,0.0,0.0,0.0,0.0,-0.14657287477865305,-0.03938542387511165
10253,0.6683507052165688,-34.122297758747834,0.0,0.0,0.0,0.0,0.0,-0.013371477315697839,0.01959302992535257
1467,0.6042581345229424,-68.58972244183808,0.0,0.0,0.0,0.0,0.0,-0.026419527308332025,0.05326659754398086
7480,0.5393324336600341,-73.18281856066449,0.0,0.0,0.168,0.067,0.0,-0.04560334332223661,0.06360540563597829
9786,0.6715782012375117,-36.08139755658728,0.0,0.0,0.0,0.0,0.0,-0.016257660788829866,-0.0015214337334174535
10469,0.6410385364004014,-17.26164909780694,0.0,0.0,0.0,0.0,0.0,-0.03994499832819506,-0.036896607378503234
43639,0.6403673148964028,-38.51424364595051,0.0,0.0,0.0,0.0,0.0,0.019313972434588857,0.0059758874537844285
1596,0.6070240681165914,-51.415983702895424,0.0,0.0,0.65,0.132,0.0,-0.0683329247150958,0.2152767976653857
17617,0.6028185843969152,-67.51313825058507,0.0,0.0,0.0,0.0,0.0,-0.0011335922392197565,0.01297467006753162
40755,0.6488239097871653,-65.79703569604861,0.0,0.0,0.0,0.0,0.0,0.006582320471359397,0.01671463741287221
43991,0.63511493319837,-32.39898492296912,0.0,0.0,0.0,0.0,0.0,-0.013068695612618595,-0.00017077619503831263
6841,0.6347494787930026,-56.01997284542154,0.0,0.0,0.887,0.06,0.0,-0.04663811300994127,0.18788843189417623
44058,0.7272859406796448,-12.237494881059812,0.0,0.0,0.0,0.0,0.0,-0.023803214444674568,-0.08152834557127149
301,0.6242861380703696,-22.155684910955323,4.0,0.3703833896617517,0.0,0.0,-0.35790309203556153,0.0,-0.9165457308765903
42066,0.6215382470286935,-38.556878474980294,0.0,0.0,0.0,0.0,0.0,-0.073206321531709,-0.10067665867986703
458,0.6173174424054299,-56.963388627176734,0.0,0.0,0.0,0.0,0.0,-0.05638332515428029,0.012789412803605796
2217,0.5716824517796022,-61.45750957579625,0.0,0.0,0.26,0.06,0.0,-0.017837739643898246,0.06693221809337396
44494,0.6333739930536609,-30.275691068765312,0.0,0.0,0.0,0.0,0.0,-0.030215938150772094,0.010296564516625206
5040,0.6403594821077389,-15.50030685087243,0.0,0.0,-0.3069,0.10099999999999999,0.0,-0.03471461688406389,-0.09985723892071567
